Generation,Training Set Accuracy, Training Set MSE, Test Set Accuracy, Test Set MSE
0,31.25,0.244814,39.4737,0.23543
1,31.25,0.239736,39.4737,0.23173
2,31.25,0.2355,28.9474,0.228672
3,5.35714,0.231797,0,0.226009
4,0,0.228363,0,0.223522
5,0,0.224933,0,0.221053
6,0,0.221436,0,0.218749
7,0,0.218248,0,0.216846
8,0,0.215652,0,0.215304
9,0,0.213575,0,0.213979
10,0,0.211849,0,0.212762
11,0,0.210338,0,0.211582
12,0,0.208953,0,0.210396
13,0,0.207634,0,0.209179
14,0,0.206341,0,0.207915
15,0,0.205049,0,0.206596
16,0,0.20374,0,0.205217
17,0,0.202403,0,0.203778
18,0,0.201029,0,0.202278
19,0,0.199616,0,0.200721
20,0,0.198161,0,0.19911
21,0,0.196663,0,0.197448
22,0,0.195125,0,0.195742
23,0,0.193549,0,0.193996
24,0,0.191937,0,0.192215
25,0,0.190293,0,0.190406
26,0,0.188623,0,0.188574
27,0,0.18693,0,0.186725
28,0,0.18522,0,0.184863
29,0,0.183497,0,0.182996
30,0,0.181768,2.63158,0.181128
31,3.57143,0.180036,2.63158,0.179263
32,4.46429,0.178307,7.89474,0.177408
33,10.7143,0.176587,21.0526,0.175567
34,16.9643,0.174879,28.9474,0.173744
35,21.4286,0.173188,34.2105,0.171943
36,27.6786,0.171518,36.8421,0.170169
37,29.4643,0.169874,39.4737,0.168424
38,30.3571,0.168257,39.4737,0.166711
39,30.3571,0.166672,39.4737,0.165034
40,32.1429,0.16512,39.4737,0.163393
41,33.0357,0.163604,39.4737,0.161792
42,33.9286,0.162125,42.1053,0.160232
43,34.8214,0.160685,42.1053,0.158713
44,36.6071,0.159286,44.7368,0.157236
45,38.3929,0.157926,47.3684,0.155803
46,43.75,0.156608,47.3684,0.154412
47,47.3214,0.15533,47.3684,0.153064
48,51.7857,0.154094,50,0.151759
49,55.3571,0.152898,50,0.150497
50,58.9286,0.151742,50,0.149276
51,58.9286,0.150625,52.6316,0.148096
52,60.7143,0.149547,57.8947,0.146955
53,62.5,0.148507,63.1579,0.145854
54,62.5,0.147504,63.1579,0.144791
55,63.3929,0.146536,63.1579,0.143765
56,64.2857,0.145603,63.1579,0.142774
57,65.1786,0.144704,63.1579,0.141819
58,66.9643,0.143837,63.1579,0.140896
59,66.9643,0.143002,63.1579,0.140006
60,66.9643,0.142196,63.1579,0.139148
61,66.9643,0.14142,63.1579,0.138319
62,67.8571,0.140671,63.1579,0.137519
63,67.8571,0.13995,63.1579,0.136747
64,67.8571,0.139254,63.1579,0.136002
65,67.8571,0.138583,63.1579,0.135282
66,67.8571,0.137935,63.1579,0.134587
67,67.8571,0.137311,63.1579,0.133916
68,67.8571,0.136708,63.1579,0.133268
69,67.8571,0.136126,63.1579,0.132641
70,67.8571,0.135563,63.1579,0.132035
71,67.8571,0.13502,63.1579,0.131449
72,67.8571,0.134496,63.1579,0.130883
73,67.8571,0.133988,63.1579,0.130335
74,67.8571,0.133498,63.1579,0.129804
75,67.8571,0.133023,63.1579,0.129291
76,67.8571,0.132564,63.1579,0.128794
77,67.8571,0.13212,63.1579,0.128312
78,67.8571,0.131689,63.1579,0.127846
79,67.8571,0.131272,63.1579,0.127394
80,67.8571,0.130868,63.1579,0.126955
81,67.8571,0.130476,63.1579,0.12653
82,67.8571,0.130096,63.1579,0.126117
83,67.8571,0.129727,63.1579,0.125717
84,67.8571,0.129369,63.1579,0.125328
85,67.8571,0.129022,63.1579,0.124951
86,67.8571,0.128684,63.1579,0.124584
87,67.8571,0.128356,63.1579,0.124228
88,67.8571,0.128037,63.1579,0.123881
89,67.8571,0.127726,63.1579,0.123545
90,67.8571,0.127424,63.1579,0.123217
91,67.8571,0.12713,63.1579,0.122898
92,67.8571,0.126843,63.1579,0.122588
93,67.8571,0.126564,63.1579,0.122285
94,67.8571,0.126292,63.1579,0.121991
95,67.8571,0.126027,63.1579,0.121704
96,67.8571,0.125768,63.1579,0.121424
97,67.8571,0.125515,63.1579,0.121151
98,67.8571,0.125268,63.1579,0.120885
